iter	Passed	Remaining
443	1158	1451
444	1160	1447
445	1161	1443
446	1163	1439
447	1164	1435
448	1167	1432
449	1169	1429
450	1172	1426
451	1176	1426
452	1178	1423
453	1180	1419
454	1181	1415
455	1184	1412
456	1186	1409
457	1188	1405
458	1190	1402
459	1193	1400
460	1195	1398
461	1198	1395
462	1201	1393
463	1203	1390
464	1205	1387
465	1208	1384
466	1210	1381
467	1212	1377
468	1214	1374
469	1216	1371
470	1218	1368
471	1221	1366
472	1223	1363
473	1225	1360
474	1228	1358
475	1230	1354
476	1232	1351
477	1234	1347
478	1237	1346
479	1239	1342
480	1241	1339
481	1243	1335
482	1245	1332
483	1246	1329
484	1248	1326
485	1251	1323
486	1255	1322
487	1258	1320
488	1260	1317
489	1263	1314
490	1264	1311
491	1267	1308
492	1269	1305
493	1271	1302
494	1273	1299
495	1275	1295
496	1277	1293
497	1279	1290
498	1283	1288
499	1285	1285
500	1289	1284
501	1291	1280
502	1293	1277
503	1295	1274
504	1297	1271
505	1299	1268
506	1301	1265
507	1303	1261
508	1305	1259
509	1307	1255
510	1308	1252
511	1311	1249
512	1314	1248
513	1317	1245
514	1319	1242
515	1321	1239
516	1323	1236
517	1325	1233
518	1327	1230
519	1329	1226
520	1330	1223
521	1332	1220
522	1334	1217
523	1335	1213
524	1337	1210
525	1340	1208
526	1342	1204
527	1344	1202
528	1346	1198
529	1348	1196
530	1350	1193
531	1353	1190
532	1355	1187
533	1357	1184
534	1358	1181
535	1360	1177
536	1362	1174
537	1363	1171
538	1365	1168
539	1368	1165
540	1371	1163
541	1374	1161
542	1376	1158
543	1379	1156
544	1382	1153
545	1384	1150
546	1386	1148
547	1388	1145
548	1390	1142
549	1392	1139
550	1394	1136
551	1396	1132
552	1397	1129
553	1400	1127
554	1403	1125
555	1405	1122
556	1410	1121
557	1412	1119
558	1415	1116
559	1418	1114
560	1420	1111
561	1423	1109
562	1425	1106
563	1428	1104
564	1432	1102
565	1437	1102
566	1441	1100
567	1443	1097
568	1446	1095
569	1448	1092
570	1450	1089
571	1452	1087
572	1454	1084
573	1457	1081
574	1461	1079
575	1464	1078
576	1467	1075
577	1470	1073
578	1473	1071
579	1476	1068
580	1478	1066
581	1481	1063
582	1483	1060
583	1486	1058
584	1488	1055
585	1491	1053
586	1494	1051
587	1497	1049
588	1500	1047
589	1502	1044
590	1504	1041
591	1507	1039
592	1509	1036
593	1511	1033
594	1513	1030
595	1515	1027
596	1517	1024
597	1520	1022
598	1522	1019
599	1525	1017
600	1527	1014
601	1531	1012
602	1533	1009
603	1535	1006
604	1537	1004
605	1539	1001
606	1541	997
607	1542	994
608	1545	992
609	1547	989
610	1549	986
611	1551	983
612	1554	981
613	1556	978
614	1560	976
615	1562	974
616	1565	971
617	1567	969
618	1569	966
619	1571	963
620	1573	960
621	1575	957
622	1577	954
623	1579	951
624	1581	948
625	1584	946
626	1586	943
627	1589	941
628	1591	938
629	1593	935
630	1595	933
631	1598	930
632	1599	927
633	1601	924
634	1603	921
635	1605	918
636	1607	916
637	1609	913
638	1612	910
639	1615	908
640	1617	906
641	1620	903
642	1622	900
643	1626	899
644	1628	896
645	1631	893
646	1633	891
647	1637	889
648	1640	887
649	1643	884
650	1645	882
651	1648	879
652	1650	877
653	1653	874
654	1655	871
